element_type,osm_id,name,lat,lon,distance_m,cde_category,cde_label,tags_str,within_50m,within_100m,within_250m,within_500m
node,13621203061,,27.1098248,57.0843309,102.8,infrastructure_access,Infrastructure / access,barrier=gate,False,False,True,True
node,13621203062,,27.1098815,57.0832668,162.3,unknown,Unknown / unclassified,,False,False,True,True
node,13621203063,,27.1096193,57.0829348,173.0,unknown,Unknown / unclassified,,False,False,True,True
node,13621203064,,27.1100866,57.0835188,162.3,unknown,Unknown / unclassified,,False,False,True,True
node,13621203065,,27.1095883,57.0840421,87.4,unknown,Unknown / unclassified,,False,True,True,True
node,13621203066,,27.1107272,57.0818759,328.3,unknown,Unknown / unclassified,,False,False,False,True
node,13621203067,,27.107883,57.0841618,118.9,unknown,Unknown / unclassified,,False,False,True,True
node,13621566249,,27.1088903,57.0868126,229.8,unknown,Unknown / unclassified,,False,False,True,True
node,13621566250,,27.1088385,57.08682,230.6,unknown,Unknown / unclassified,,False,False,True,True
node,13621566251,,27.1088658,57.0868456,233.1,unknown,Unknown / unclassified,,False,False,True,True
node,13621566252,,27.1075625,57.0828642,220.1,unknown,Unknown / unclassified,,False,False,True,True
node,13621566253,,27.1075352,57.0828386,224.0,unknown,Unknown / unclassified,,False,False,True,True
node,13621566254,,27.1075107,57.0828716,223.5,unknown,Unknown / unclassified,,False,False,True,True
node,13621566255,,27.107538,57.0828972,219.6,unknown,Unknown / unclassified,,False,False,True,True
node,13621566256,,27.107013,57.0833321,240.3,unknown,Unknown / unclassified,,False,False,True,True
node,13621566257,,27.1070878,57.0833986,229.8,infrastructure_access,Infrastructure / access,barrier=gate,False,False,True,True
node,13621566258,,27.1061006,57.0819413,401.7,unknown,Unknown / unclassified,,False,False,False,True
node,13621566259,,27.1071109,57.0819412,322.2,unknown,Unknown / unclassified,,False,False,False,True
node,13621566271,,27.1055814,57.0826585,412.3,unknown,Unknown / unclassified,,False,False,False,True
node,13621566272,,27.106398,57.08229,354.4,unknown,Unknown / unclassified,,False,False,False,True
node,13621566273,,27.1076788,57.0867301,260.6,unknown,Unknown / unclassified,,False,False,False,True
node,13621566274,,27.1076149,57.0865076,246.2,unknown,Unknown / unclassified,,False,False,True,True
node,13621566275,,27.1075241,57.0865405,254.8,unknown,Unknown / unclassified,,False,False,False,True
node,13621566276,,27.1075879,57.086763,268.7,unknown,Unknown / unclassified,,False,False,False,True
node,13624971221,,27.1097946,57.083218,159.8,unknown,Unknown / unclassified,,False,False,True,True
node,13624971222,,27.1096962,57.0833199,145.1,unknown,Unknown / unclassified,,False,False,True,True
node,13624971223,,27.1096287,57.0832375,147.5,unknown,Unknown / unclassified,,False,False,True,True
node,13624971224,,27.1097271,57.0831357,162.0,unknown,Unknown / unclassified,,False,False,True,True
node,13624971225,,27.1099959,57.0829835,191.9,unknown,Unknown / unclassified,,False,False,True,True
node,13624971226,,27.1099542,57.0829318,193.1,unknown,Unknown / unclassified,,False,False,True,True
node,13624971227,,27.1099817,57.0829039,197.1,unknown,Unknown / unclassified,,False,False,True,True
