stage_key,stage_label,boundary_way_id,boundary_way_label,boundary_version,snapshot_timestamp,snapshot_timestamp_iso,boundary_area_sq_m,boundary_perimeter_m,element_type,osm_id,name,lat,lon,distance_to_boundary_centroid_m,building_tag,building_semantics,building_semantics_label,later_assignment,later_assignment_label,cde_category,tags_str,stage_rank
last_pre_strike,Last pre-strike,942760673,Sayyid al-Shuhada-Asif barracks area,2,2021-05-19 02:17:22+00:00,2021-05-19T02:17:22+00:00,84145.21344921648,1251.7230493326272,way,1484791943,,27.107983,57.083761,106.4,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,unknown,building=yes; damage=significant; damage:event=Iran War 2026; damage:type=war,11
last_pre_strike,Last pre-strike,942760673,Sayyid al-Shuhada-Asif barracks area,2,2021-05-19 02:17:22+00:00,2021-05-19T02:17:22+00:00,84145.21344921648,1251.7230493326272,way,1485773072,,27.1075178,57.0855367,151.4,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,unknown,building=yes,12
last_pre_strike,Last pre-strike,942760673,Sayyid al-Shuhada-Asif barracks area,2,2021-05-19 02:17:22+00:00,2021-05-19T02:17:22+00:00,84145.21344921648,1251.7230493326272,way,1485178451,,27.1083447,57.0861489,156.4,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,unknown,building=yes,13
last_pre_strike,Last pre-strike,942760673,Sayyid al-Shuhada-Asif barracks area,2,2021-05-19 02:17:22+00:00,2021-05-19T02:17:22+00:00,84145.21344921648,1251.7230493326272,way,1484791945,,27.1077073,57.0833257,159.2,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,unknown,building=yes,14
last_pre_strike,Last pre-strike,942760673,Sayyid al-Shuhada-Asif barracks area,2,2021-05-19 02:17:22+00:00,2021-05-19T02:17:22+00:00,84145.21344921648,1251.7230493326272,way,1485178450,,27.1086838,57.0863287,172.1,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,unknown,building=yes,15
last_pre_strike,Last pre-strike,942760673,Sayyid al-Shuhada-Asif barracks area,2,2021-05-19 02:17:22+00:00,2021-05-19T02:17:22+00:00,84145.21344921648,1251.7230493326272,way,1485773070,,27.1094496,57.0860505,173.1,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,unknown,building=yes,16
last_pre_strike,Last pre-strike,942760673,Sayyid al-Shuhada-Asif barracks area,2,2021-05-19 02:17:22+00:00,2021-05-19T02:17:22+00:00,84145.21344921648,1251.7230493326272,way,1485797310,,27.1084474,57.0863591,175.5,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,unknown,building=yes,17
last_pre_strike,Last pre-strike,942760673,Sayyid al-Shuhada-Asif barracks area,2,2021-05-19 02:17:22+00:00,2021-05-19T02:17:22+00:00,84145.21344921648,1251.7230493326272,way,1485178454,,27.1089247,57.086397,182.4,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,unknown,building=yes,18
last_pre_strike,Last pre-strike,942760673,Sayyid al-Shuhada-Asif barracks area,2,2021-05-19 02:17:22+00:00,2021-05-19T02:17:22+00:00,84145.21344921648,1251.7230493326272,way,1485178453,,27.1088653,57.08648,189.3,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,unknown,building=yes,19
last_pre_strike,Last pre-strike,942760673,Sayyid al-Shuhada-Asif barracks area,2,2021-05-19 02:17:22+00:00,2021-05-19T02:17:22+00:00,84145.21344921648,1251.7230493326272,way,1485855964,,27.1075366,57.0828679,207.0,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,infrastructure_access,building=yes; man_made=tower; tower:type=watchtower,20
last_pre_strike,Last pre-strike,942760673,Sayyid al-Shuhada-Asif barracks area,2,2021-05-19 02:17:22+00:00,2021-05-19T02:17:22+00:00,84145.21344921648,1251.7230493326272,way,1485773071,,27.1088644,57.0868163,222.2,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,infrastructure_access,building=yes; man_made=tower; tower:type=watchtower,21
last_pre_strike,Last pre-strike,942760673,Sayyid al-Shuhada-Asif barracks area,2,2021-05-19 02:17:22+00:00,2021-05-19T02:17:22+00:00,84145.21344921648,1251.7230493326272,way,1484791936,,27.1076998,57.0848721,102.7,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,unknown,building=yes; damage=significant; damage:event=Iran War 2026; damage:type=war,22
