element_type,osm_id,name_pre,distance_m_pre,cde_category_pre,cde_label_pre,tags_pre,name_current,distance_m_current,cde_category_current,cde_label_current,tags_current,in_prestrike,in_current,status
node,8819174920,,334.1,unknown,Unknown / unclassified,,,334.1,unknown,Unknown / unclassified,,True,True,present_both
node,8819174921,,251.7,unknown,Unknown / unclassified,,,251.7,unknown,Unknown / unclassified,,True,True,present_both
node,8819174922,,159.5,unknown,Unknown / unclassified,,,159.5,unknown,Unknown / unclassified,,True,True,present_both
node,8819174923,,168.9,unknown,Unknown / unclassified,,,168.9,unknown,Unknown / unclassified,,True,True,present_both
node,8819174924,,94.0,unknown,Unknown / unclassified,,,94.0,unknown,Unknown / unclassified,,True,True,present_both
node,8819174925,,105.4,unknown,Unknown / unclassified,,,105.4,unknown,Unknown / unclassified,,True,True,present_both
node,8819174926,,89.3,unknown,Unknown / unclassified,,,89.3,unknown,Unknown / unclassified,,True,True,present_both
node,8819174927,,169.3,unknown,Unknown / unclassified,,,169.3,unknown,Unknown / unclassified,,True,True,present_both
node,8819174928,,184.1,unknown,Unknown / unclassified,,,184.1,unknown,Unknown / unclassified,,True,True,present_both
node,8819174929,,263.2,unknown,Unknown / unclassified,,,263.2,unknown,Unknown / unclassified,,True,True,present_both
node,8819174930,,206.9,unknown,Unknown / unclassified,,,206.9,unknown,Unknown / unclassified,,True,True,present_both
node,8819174931,,220.1,unknown,Unknown / unclassified,,,220.1,unknown,Unknown / unclassified,,True,True,present_both
node,8819174932,,230.7,unknown,Unknown / unclassified,,,230.7,unknown,Unknown / unclassified,,True,True,present_both
node,8819174933,,211.6,unknown,Unknown / unclassified,,,211.6,unknown,Unknown / unclassified,,True,True,present_both
node,8819174934,,224.5,unknown,Unknown / unclassified,,,224.5,unknown,Unknown / unclassified,,True,True,present_both
node,8819174935,,297.9,unknown,Unknown / unclassified,,,297.9,unknown,Unknown / unclassified,,True,True,present_both
node,8819174936,,320.0,unknown,Unknown / unclassified,,,320.0,unknown,Unknown / unclassified,,True,True,present_both
node,8819174937,,326.4,unknown,Unknown / unclassified,,,326.4,unknown,Unknown / unclassified,,True,True,present_both
node,8819174938,,321.5,unknown,Unknown / unclassified,,,321.5,unknown,Unknown / unclassified,,True,True,present_both
node,8819174939,,254.5,unknown,Unknown / unclassified,,,254.5,unknown,Unknown / unclassified,,True,True,present_both
node,8819174940,,272.5,unknown,Unknown / unclassified,,,272.5,unknown,Unknown / unclassified,,True,True,present_both
node,8819174941,,328.1,unknown,Unknown / unclassified,,,328.1,unknown,Unknown / unclassified,,True,True,present_both
node,8819174942,,313.2,unknown,Unknown / unclassified,,,313.2,unknown,Unknown / unclassified,,True,True,present_both
node,8819174943,,256.2,unknown,Unknown / unclassified,,,256.2,unknown,Unknown / unclassified,,True,True,present_both
node,8819174944,,274.0,unknown,Unknown / unclassified,,,274.0,unknown,Unknown / unclassified,,True,True,present_both
node,8819174945,,404.9,unknown,Unknown / unclassified,,,404.9,unknown,Unknown / unclassified,,True,True,present_both
node,8819174946,,371.2,unknown,Unknown / unclassified,,,371.2,unknown,Unknown / unclassified,,True,True,present_both
node,8819174947,,324.7,unknown,Unknown / unclassified,,,324.7,unknown,Unknown / unclassified,,True,True,present_both
node,8819174948,,498.7,unknown,Unknown / unclassified,,,498.7,unknown,Unknown / unclassified,,True,True,present_both
node,8819174951,,367.9,unknown,Unknown / unclassified,,,367.9,unknown,Unknown / unclassified,,True,True,present_both
node,8819174952,,412.1,unknown,Unknown / unclassified,,,412.1,unknown,Unknown / unclassified,,True,True,present_both
node,8819174953,,478.0,unknown,Unknown / unclassified,,,478.0,unknown,Unknown / unclassified,,True,True,present_both
node,8819174954,,461.1,unknown,Unknown / unclassified,,,461.1,unknown,Unknown / unclassified,,True,True,present_both
node,8819174955,,427.7,unknown,Unknown / unclassified,,,427.7,unknown,Unknown / unclassified,,True,True,present_both
node,8819174956,,448.5,unknown,Unknown / unclassified,,,448.5,unknown,Unknown / unclassified,,True,True,present_both
node,8819174995,,464.8,unknown,Unknown / unclassified,,,464.8,unknown,Unknown / unclassified,,True,True,present_both
node,8819175010,,323.9,unknown,Unknown / unclassified,,,323.9,unknown,Unknown / unclassified,,True,True,present_both
node,8819175011,,329.3,unknown,Unknown / unclassified,,,329.3,unknown,Unknown / unclassified,,True,True,present_both
node,8819175012,,332.5,unknown,Unknown / unclassified,,,332.5,unknown,Unknown / unclassified,,True,True,present_both
node,8819175013,,215.0,unknown,Unknown / unclassified,,,215.0,unknown,Unknown / unclassified,,True,True,present_both
node,8819175014,,145.6,unknown,Unknown / unclassified,,,145.6,unknown,Unknown / unclassified,,True,True,present_both
node,8819175015,,56.1,unknown,Unknown / unclassified,,,56.1,unknown,Unknown / unclassified,,True,True,present_both
node,8819175016,,213.2,unknown,Unknown / unclassified,,,213.2,unknown,Unknown / unclassified,,True,True,present_both
node,8819175017,,116.8,unknown,Unknown / unclassified,,,116.8,unknown,Unknown / unclassified,,True,True,present_both
node,8819175018,,184.3,unknown,Unknown / unclassified,,,184.3,unknown,Unknown / unclassified,,True,True,present_both
node,8855569029,,466.2,unknown,Unknown / unclassified,,,466.2,unknown,Unknown / unclassified,,True,True,present_both
node,8855569030,,387.1,unknown,Unknown / unclassified,,,387.1,unknown,Unknown / unclassified,,True,True,present_both
node,8855569031,,409.0,unknown,Unknown / unclassified,,,409.0,unknown,Unknown / unclassified,,True,True,present_both
node,8886927728,,455.4,unknown,Unknown / unclassified,,,455.4,unknown,Unknown / unclassified,,True,True,present_both
node,8886927729,,439.2,unknown,Unknown / unclassified,,,439.2,unknown,Unknown / unclassified,,True,True,present_both
node,8887132345,,303.0,unknown,Unknown / unclassified,,,303.0,unknown,Unknown / unclassified,,True,True,present_both
node,8887132346,,281.6,unknown,Unknown / unclassified,,,281.6,unknown,Unknown / unclassified,,True,True,present_both
node,8887132347,,296.9,unknown,Unknown / unclassified,,,296.9,unknown,Unknown / unclassified,,True,True,present_both
node,8887132348,,317.3,unknown,Unknown / unclassified,,,317.3,unknown,Unknown / unclassified,,True,True,present_both
node,8887132349,,374.9,unknown,Unknown / unclassified,,,374.9,unknown,Unknown / unclassified,,True,True,present_both
node,8887132350,,355.9,unknown,Unknown / unclassified,,,355.9,unknown,Unknown / unclassified,,True,True,present_both
node,8887132351,,368.0,unknown,Unknown / unclassified,,,368.0,unknown,Unknown / unclassified,,True,True,present_both
node,8887132352,,386.5,unknown,Unknown / unclassified,,,386.5,unknown,Unknown / unclassified,,True,True,present_both
node,8887132353,,253.3,unknown,Unknown / unclassified,,,253.3,unknown,Unknown / unclassified,,True,True,present_both
node,8887132354,,236.3,unknown,Unknown / unclassified,,,236.3,unknown,Unknown / unclassified,,True,True,present_both
node,8887132355,,248.3,unknown,Unknown / unclassified,,,248.3,unknown,Unknown / unclassified,,True,True,present_both
node,8887132356,,264.5,unknown,Unknown / unclassified,,,264.5,unknown,Unknown / unclassified,,True,True,present_both
node,8887132357,,247.1,unknown,Unknown / unclassified,,,247.1,unknown,Unknown / unclassified,,True,True,present_both
node,8887132358,,230.1,unknown,Unknown / unclassified,,,230.1,unknown,Unknown / unclassified,,True,True,present_both
node,8887132359,,239.5,unknown,Unknown / unclassified,,,239.5,unknown,Unknown / unclassified,,True,True,present_both
